eventId,note,systemId,metadata,executedAt,lineIndex,reconciliationKey,subSkuCode,economicEvent,transactionType,stripeTransferId,createdAt,amountCents,talentUserId,flowCode,transactionGroupId,financialStatement,currency,engagementId,skuCode,account,direction,id,created_date,updated_date,created_by_id,created_by,is_sample
"EVT-Q4KUZB-7NVDKR","Extinction créance organisateur ENG-T75C5V-NF5RRR — balance","LDG-9FHZ9R-HLPUTF","{""stripeEventId"":""pi_3Tc2Hz2eLVUrCnnJ1lnhMK81"",""txgId"":""TXG-ENC-T75C5V-NF5RRR-nhMK81"",""lineCount"":2}","","1","stripe:pi_3Tc2Hz2eLVUrCnnJ1lnhMK81","SUB-COURT-BALANCE","encaissement_balance","encaissement_solde","","2026-05-28T11:39:53.558Z","80000","","ENC-BALANCE","TXG-ENC-T75C5V-NF5RRR-nhMK81","FLUX","cad","ENG-T75C5V-NF5RRR","SKU-COURTAGE","4110","CREDIT","6a18298a6cc15310662bda26","2026-05-28T11:39:54.807000","2026-05-28T11:39:54.807000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"EVT-Q4KUZB-7NVDKR","Encaissement balance Stripe — 800.00$","LDG-ZMR2HV-LW25G8","{""stripeEventId"":""pi_3Tc2Hz2eLVUrCnnJ1lnhMK81"",""txgId"":""TXG-ENC-T75C5V-NF5RRR-nhMK81"",""lineCount"":2}","","0","stripe:pi_3Tc2Hz2eLVUrCnnJ1lnhMK81","SUB-COURT-BALANCE","encaissement_balance","encaissement_solde","","2026-05-28T11:39:53.558Z","80000","","ENC-BALANCE","TXG-ENC-T75C5V-NF5RRR-nhMK81","FLUX","cad","ENG-T75C5V-NF5RRR","SKU-COURTAGE","5200","DEBIT","6a18298abc1da9b3cd9c9a86","2026-05-28T11:39:54.650000","2026-05-28T11:39:54.650000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"EVT-Q4KUZB-7NVDKR","Extinction créance organisateur ENG-T75C5V-NF5RRR — dépôt","LDG-THQ94N-WXPXWY","{""stripeEventId"":""pi_3Tc2HO2eLVUrCnnJ0NvpPLrA"",""txgId"":""TXG-ENC-T75C5V-NF5RRR-vpPLrA"",""lineCount"":2}","","1","stripe:pi_3Tc2HO2eLVUrCnnJ0NvpPLrA","SUB-COURT-DEPOT","encaissement_depot","encaissement_depot","","2026-05-28T11:39:17.480Z","20000","","ENC-DEPOT","TXG-ENC-T75C5V-NF5RRR-vpPLrA","FLUX","cad","ENG-T75C5V-NF5RRR","SKU-COURTAGE","4110","CREDIT","6a18296604cfdfc8ebc80976","2026-05-28T11:39:18.736000","2026-05-28T11:39:18.736000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"EVT-Q4KUZB-7NVDKR","Encaissement dépôt Stripe — 200.00$","LDG-A5RQL8-BSW4BR","{""stripeEventId"":""pi_3Tc2HO2eLVUrCnnJ0NvpPLrA"",""txgId"":""TXG-ENC-T75C5V-NF5RRR-vpPLrA"",""lineCount"":2}","","0","stripe:pi_3Tc2HO2eLVUrCnnJ0NvpPLrA","SUB-COURT-DEPOT","encaissement_depot","encaissement_depot","","2026-05-28T11:39:17.480Z","20000","","ENC-DEPOT","TXG-ENC-T75C5V-NF5RRR-vpPLrA","FLUX","cad","ENG-T75C5V-NF5RRR","SKU-COURTAGE","5200","DEBIT","6a1829666e3786857461e335","2026-05-28T11:39:18.577000","2026-05-28T11:39:18.577000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"EVT-Q4KUZB-7NVDKR","Commission MR différée 12.0% — escrow jusqu'à archivage","LDG-AAZLC5-5AFRNX","{""transactionGroupId"":""TXG-T75C5V-NF5RRR"",""lineCount"":3}","","2","journal:placement-ENG-T75C5V-NF5RRR","SUB-COURT-USR-MPIG0A","placement_engagement","placement_engagement","","2026-05-28T11:38:44.698Z","12000","","","TXG-T75C5V-NF5RRR","BILAN","cad","ENG-T75C5V-NF5RRR","SKU-COURTAGE","4530","CREDIT","6a182946eac157ac0cffb74e","2026-05-28T11:38:46.437000","2026-05-28T11:38:46.437000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"EVT-Q4KUZB-7NVDKR","Cachet net talent — 880.00$","LDG-6V5VB4-P68K2M","{""transactionGroupId"":""TXG-T75C5V-NF5RRR"",""lineCount"":3}","","1","journal:placement-ENG-T75C5V-NF5RRR","SUB-COURT-USR-MPIG0A","placement_engagement","placement_engagement","","2026-05-28T11:38:44.698Z","88000","","","TXG-T75C5V-NF5RRR","BILAN","cad","ENG-T75C5V-NF5RRR","SKU-COURTAGE","4310","CREDIT","6a1829464a3f3af19d89cf4e","2026-05-28T11:38:46.252000","2026-05-28T11:38:46.252000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"EVT-Q4KUZB-7NVDKR","Placement ENG-T75C5V-NF5RRR — créance organisateur 1000.00$","LDG-66G5WF-AGULVE","{""transactionGroupId"":""TXG-T75C5V-NF5RRR"",""lineCount"":3,""waterfall"":{""cachetSigneCents"":100000,""commissionMrCents"":12000,""talentNetCents"":88000,""tauxPpm"":120000}}","","0","journal:placement-ENG-T75C5V-NF5RRR","SUB-COURT-USR-MPIG0A","placement_engagement","placement_engagement","","2026-05-28T11:38:44.698Z","100000","","","TXG-T75C5V-NF5RRR","BILAN","cad","ENG-T75C5V-NF5RRR","SKU-COURTAGE","4110","DEBIT","6a1829462e6b2a4a6550a61c","2026-05-28T11:38:46.017000","2026-05-28T11:38:46.017000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"EVT-ASXPW3-MY7QWZ","Commission MR différée 12.0% — escrow jusqu'à archivage","LDG-V8YFX8-SHRBAV","{""transactionGroupId"":""TXG-PSSMWE-D4BZZL"",""lineCount"":3}","","2","journal:placement-ENG-PSSMWE-D4BZZL","SUB-COURT-TEST","placement_engagement","placement_engagement","","2026-05-28T11:29:22.283Z","1800","","","TXG-PSSMWE-D4BZZL","BILAN","cad","ENG-PSSMWE-D4BZZL","SKU-COURTAGE","4530","CREDIT","6a18271360ed53f0db029f5d","2026-05-28T11:29:23.870000","2026-05-28T11:29:23.870000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"EVT-ASXPW3-MY7QWZ","Cachet net talent — 132.00$","LDG-Z547CG-KTJC9B","{""transactionGroupId"":""TXG-PSSMWE-D4BZZL"",""lineCount"":3}","","1","journal:placement-ENG-PSSMWE-D4BZZL","SUB-COURT-TEST","placement_engagement","placement_engagement","","2026-05-28T11:29:22.283Z","13200","","","TXG-PSSMWE-D4BZZL","BILAN","cad","ENG-PSSMWE-D4BZZL","SKU-COURTAGE","4310","CREDIT","6a1827134fb497c5249979f5","2026-05-28T11:29:23.677000","2026-05-28T11:29:23.677000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"EVT-ASXPW3-MY7QWZ","Placement ENG-PSSMWE-D4BZZL — créance organisateur 150.00$","LDG-PCWGTW-LM9W86","{""transactionGroupId"":""TXG-PSSMWE-D4BZZL"",""lineCount"":3,""waterfall"":{""cachetSigneCents"":15000,""commissionMrCents"":1800,""talentNetCents"":13200,""tauxPpm"":120000}}","","0","journal:placement-ENG-PSSMWE-D4BZZL","SUB-COURT-TEST","placement_engagement","placement_engagement","","2026-05-28T11:29:22.283Z","15000","","","TXG-PSSMWE-D4BZZL","BILAN","cad","ENG-PSSMWE-D4BZZL","SKU-COURTAGE","4110","DEBIT","6a1827136cc15310662bd8a8","2026-05-28T11:29:23.487000","2026-05-28T11:29:23.487000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
