momentScore,isPublishedInExplore,momentumDelta,momentumScore,startedAt,rarityScore,timeUrgencyScore,styleCoherenceScore,expiresAt,checkpointSystemId,ctaType,momentKey,sceneId,momentType,closedAt,headline,subheadline,domainKey,status,predictedPeakAt,id,created_date,updated_date,created_by_id,is_sample
"20","false","10","20","2026-04-28T18:58:59.905Z","0","0","0","2026-04-28T21:59:00.301Z","NC-0000000122","join_session","NC-0000000122_music_2026-04-28","","emergence","","Brasserie Brewskey — activité en cours","1 session active","music","seeded","","69f1037419defda4c23d894c","2026-04-28T18:59:00.457000","2026-04-28T18:59:00.457000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"20","false","10","20","2026-04-28T14:39:35.431Z","0","0","0","2026-04-28T17:39:36.035Z","NC-0000000104","join_session","NC-0000000104_music_2026-04-28","","emergence","","Afro Lounge — activité en cours","1 session active","music","seeded","","69f0c6a8459801ceb0191e91","2026-04-28T14:39:36.220000","2026-04-28T14:39:36.220000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"24","false","8","8","2026-04-26T17:40:07.802Z","0","0","0","2026-04-26T20:40:07.802Z","NC-0000000310","join_session","NC-0000000310_music_2026-04-26","","persistence","2026-04-26T20:40:07.911Z","Le Cathcart — la scène musique reste actif","1 session(s) ouverte(s)","music","closed","","69ee4df863c3fe25130a7f74","2026-04-26T17:40:08.305000","2026-04-26T20:40:08.391000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"8","false","-18","8","2026-04-24T00:00:07.814Z","0","0","0","2026-04-24T03:00:07.814Z","NC-0000000165","join_session","NC-0000000165_music_2026-04-24","","persistence","2026-04-24T03:00:07.887Z","Kampus Coworking — la scène musique reste actif","6 session(s) ouverte(s)","music","closed","","69eab28851d78fdfd2b8e537","2026-04-24T00:00:08.282000","2026-04-24T14:00:08.333000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"8","false","0","8","2026-04-23T15:20:08.207Z","0","0","0","2026-04-23T18:20:08.207Z","NC-0000000165","join_session","NC-0000000165_music_2026-04-23","","persistence","2026-04-23T18:30:07.804Z","Kampus Coworking — la scène musique reste actif","2 session(s) ouverte(s)","music","closed","","69ea38a87531d4cce944d9b3","2026-04-23T15:20:08.730000","2026-04-23T23:40:08.362000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"20","false","10","20","2026-04-22T12:15:59.727Z","0","0","0","2026-04-22T15:16:00.236Z","NC-0000000191","join_session","NC-0000000191_music_2026-04-22","","emergence","2026-04-23T15:20:08.207Z","Espace rodier — activité en cours","1 session active","music","closed","","69e8bc00835638d936c231a8","2026-04-22T12:16:00.532000","2026-04-23T15:20:12.588000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"24","false","8","8","2026-04-22T11:42:45.806Z","0","0","0","2026-04-22T14:42:45.806Z","NC-0000000165","join_session","NC-0000000165_music_2026-04-22","","persistence","2026-04-23T15:20:08.207Z","Kampus Coworking — la scène musique reste actif","3 session(s) ouverte(s)","music","closed","","69e8b436ce9fb0b1aba34da2","2026-04-22T11:42:46.300000","2026-04-23T15:20:12.856000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"141","false","47","47","2026-04-22T11:37:45.860Z","0","0","0","2026-04-22T14:37:45.860Z","NC-0000000029","explore_checkpoint","NC-0000000029_music_2026-04-22","","emergence","2026-04-23T15:20:08.207Z","Bobby's — la scène musique s’éveille","Lieu en activité","music","closed","","69e8b30a368ec401997757c1","2026-04-22T11:37:46.250000","2026-04-23T15:20:12.669000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"141","false","47","47","2026-04-20T14:17:50.151Z","0","0","0","2026-04-20T17:17:50.151Z","NC-0000000029","explore_checkpoint","NC-0000000029_music_2026-04-20","","emergence","2026-04-22T11:37:45.860Z","Bobby's — la scène musique s’éveille","Lieu en activité","music","closed","","69e6358e27604d4f1f110e15","2026-04-20T14:17:50.695000","2026-04-22T11:37:46.553000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"20","false","10","20","2026-04-20T12:16:54.837Z","0","0","0","2026-04-20T15:16:55.199Z","NC-0000000169","join_session","NC-0000000169_music_2026-04-20","","emergence","2026-04-22T11:37:45.860Z","Agence Modroom — activité en cours","1 session active","music","closed","","69e61937c78f844b15cc6ae4","2026-04-20T12:16:55.329000","2026-04-22T11:37:46.656000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
