calculationType,eventId,note,amount_cents,payoutId,roleType,recipientUserId,stripeTransferId,createdAt,basis_amount_cents,paidAt,currency,effectiveCommissionRate,status,updatedAt,id,created_date,updated_date,created_by_id,is_sample
"contract_amount","69e97d4b55f24e6ae443e816","Talent présent — 60$ - fee 13.20% = 52.08$ [lineup: lineup_placement, commission: snapshot]","5208","69e97e84fc11c5201a82e188","talent_payout","699c655e40e8dc98eacda675","tr_1TPliqEDnfppNFcxUVvX5NxD","2026-04-24 13:00:50.204+00","6000","2026-04-24 15:32:20.209+00","CAD","0.132","paid","2026-04-24 15:32:20.209+00","69f1f7cb8b6f84386ebd51b6","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e97d4b55f24e6ae443e816","Talent présent — 80$ - fee 5.00% = 76$ [lineup: lineup_placement, commission: snapshot]","7600","69e97e84fc11c5201a82e188","talent_payout","698c747aee05acfdd23ea578","tr_1TPlivEDnfppNFcxPXz2D8NP","2026-04-24 13:00:50.204+00","8000","2026-04-24 15:32:20.209+00","CAD","0.05","paid","2026-04-24 15:32:20.209+00","69f1f7cb8b6f84386ebd51b7","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_of_platform_fee","69e79b7937a994e48dee53ca","Commission vendeur tier C — 5% × 4.07$ MR = 0.2$","20","69e980dd4173960449583656","seller_commission","69b48a2b7d5c0db589c6bb1c","","2026-04-24 13:00:45.134+00","407","","CAD","0.05","pending","2026-04-24 13:00:45.134+00","69f1f7cb8b6f84386ebd51b8","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e79b7937a994e48dee53ca","Courtage snapshot T1 figé=5.70% = 1.43$","143","69e980dd4173960449583656","platform_fee","","","2026-04-24 13:00:45.134+00","143","2026-04-24 15:32:20.209+00","CAD","","paid","2026-04-24 15:32:20.209+00","69f1f7cb8b6f84386ebd51b9","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e79b7937a994e48dee53ca","Courtage snapshot T1 figé=13.20% = 2.64$","264","69e980dd4173960449583656","platform_fee","","","2026-04-24 13:00:45.134+00","264","","CAD","","pending","2026-04-24 13:00:45.134+00","69f1f7cb8b6f84386ebd51ba","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e79b7937a994e48dee53ca","Talent présent — 25$ - fee 5.70% = 23.57$ [lineup: lineup_placement, commission: snapshot]","2357","69e980dd4173960449583656","talent_payout","69cd302266f2193a99122757","tr_1TPlizEDnfppNFcxwZ4PmCqi","2026-04-24 13:00:45.134+00","2500","2026-04-24 15:32:20.209+00","CAD","0.057","paid","2026-04-24 15:32:20.209+00","69f1f7cb8b6f84386ebd51bb","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e79b7937a994e48dee53ca","Talent présent — 20$ - fee 13.20% = 17.36$ [lineup: lineup_placement, commission: snapshot]","1736","69e980dd4173960449583656","talent_payout","699c655e40e8dc98eacda675","tr_1TPlj4EDnfppNFcxPHF7P2mi","2026-04-24 13:00:45.134+00","2000","2026-04-24 15:32:20.209+00","CAD","0.132","paid","2026-04-24 15:32:20.209+00","69f1f7cb8b6f84386ebd51bc","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_of_platform_fee","69e9827931502e7066e9d642","Commission vendeur tier C (défaut) — 5% × 9$ MR = 0.45$","45","69e9f3648948b41d17326450","seller_commission","69b48a2b7d5c0db589c6bb1c","","2026-04-24 13:00:40.416+00","900","","CAD","0.05","pending","2026-04-24 13:00:40.416+00","69f1f7cb8b6f84386ebd51bd","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e9827931502e7066e9d642","Courtage snapshot T1 figé=5.00% = 9$","900","69e9f3648948b41d17326450","platform_fee","","","2026-04-24 13:00:40.416+00","900","2026-04-24 15:32:20.209+00","CAD","","paid","2026-04-24 15:32:20.209+00","69f1f7cb8b6f84386ebd51be","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e9827931502e7066e9d642","Talent présent — 180$ - fee 5.00% = 171$ [lineup: lineup_placement, commission: snapshot]","17100","69e9f3648948b41d17326450","talent_payout","698c747aee05acfdd23ea578","tr_1TPlj9EDnfppNFcxwwat0LWk","2026-04-24 13:00:40.416+00","18000","2026-04-24 15:32:20.209+00","CAD","0.05","paid","2026-04-24 15:32:20.209+00","69f1f7cb8b6f84386ebd51bf","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e9f68a8934e1f22b3ef8c3","Courtage snapshot T1 figé=3.33% = 1.67$","167","69e9f96ef36723f40068e52e","platform_fee","","","2026-04-24 13:00:35.19+00","167","2026-04-24 15:32:20.209+00","CAD","","paid","2026-04-24 15:32:20.209+00","69f1f7cb8b6f84386ebd51c0","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69e9f68a8934e1f22b3ef8c3","Courtage snapshot T1 figé=5.00% = 9$","900","69e9f96ef36723f40068e52e","platform_fee","","","2026-04-24 13:00:35.19+00","900","","CAD","","pending","2026-04-24 13:00:35.19+00","69f1f7cb8b6f84386ebd51c1","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e9f68a8934e1f22b3ef8c3","Talent présent — 50$ - fee 3.33% = 48.33$ [lineup: lineup_placement, commission: snapshot]","4833","69e9f96ef36723f40068e52e","talent_payout","69b48a2b7d5c0db589c6bb1c","tr_1TPljEEDnfppNFcxpZtKK3OI","2026-04-24 13:00:35.19+00","5000","2026-04-24 15:32:20.209+00","CAD","0.0333","paid","2026-04-24 15:32:20.209+00","69f1f7cb8b6f84386ebd51c2","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69e9f68a8934e1f22b3ef8c3","Talent présent — 180$ - fee 5.00% = 171$ [lineup: lineup_placement, commission: snapshot]","17100","69e9f96ef36723f40068e52e","talent_payout","698c747aee05acfdd23ea578","tr_1TPljIEDnfppNFcx6oP7kQve","2026-04-24 13:00:35.19+00","18000","2026-04-24 15:32:20.209+00","CAD","0.05","paid","2026-04-24 15:32:20.209+00","69f1f7cb8b6f84386ebd51c3","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69ea2acd3025a2080e9ba3f1","Courtage snapshot T1 figé=5.70% = 4.1$","410","69ea36841bbad98e954b1c29","platform_fee","","","2026-04-23 15:16:26.126+00","410","2026-04-23 22:46:29.365+00","CAD","","paid","2026-04-23 22:46:29.365+00","69f1f7cb8b6f84386ebd51c4","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"percentage_post","69ea2acd3025a2080e9ba3f1","Courtage snapshot T1 figé=3.33% = 0.83$","83","69ea36841bbad98e954b1c29","platform_fee","","","2026-04-23 15:16:26.126+00","83","","CAD","","pending","2026-04-23 15:16:26.126+00","69f1f7cb8b6f84386ebd51c5","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69ea2acd3025a2080e9ba3f1","Talent présent — 72$ - fee 5.70% = 67.9$ [lineup: lineup_placement, commission: snapshot]","6790","69ea36841bbad98e954b1c29","talent_payout","69cd302266f2193a99122757","tr_1TPW11EDnfppNFcx0oRK13jM","2026-04-23 15:16:26.126+00","7200","2026-04-23 22:46:29.365+00","CAD","0.057","paid","2026-04-23 22:46:29.365+00","69f1f7cb8b6f84386ebd51c6","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
"contract_amount","69ea2acd3025a2080e9ba3f1","Talent présent — 25$ - fee 3.33% = 24.17$ [lineup: lineup_placement, commission: snapshot]","2417","69ea36841bbad98e954b1c29","talent_payout","69b48a2b7d5c0db589c6bb1c","tr_1TPVwYEDnfppNFcxiY67sUgs","2026-04-23 15:16:26.126+00","2500","2026-04-23 22:41:49.45+00","CAD","0.0333","paid","2026-04-23 22:41:49.45+00","69f1f7cb8b6f84386ebd51c7","2026-04-29T12:21:31.010000","2026-04-29T12:21:31.010000","698c747aee05acfdd23ea578","false"
